propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Entire serviced apartment,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,3,Entire home/apt,1,1,4.66,Castelldefels,$133.00 ,,,"Entire serviced apartment in Castelldefels, Spain",2024-10-08T18:20:50.067Z,airbnb://rooms/53018484,https://www.airbnb.com/rooms/53018484?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in bed and breakfast,12/31/2024,1/1/2025,Strict, 3:00 PM , 11:00 AM,2,Private room,1,,5,Barcelona,$143.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:29.246Z,airbnb://rooms/1008162876707135516,https://www.airbnb.com/rooms/1008162876707135516?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hotel,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,1.5,4.49,Barcelona,$153.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:30.145Z,airbnb://rooms/961287943216806993,https://www.airbnb.com/rooms/961287943216806993?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hotel,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,1.5,4.6,Barcelona,$162.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:32.939Z,airbnb://rooms/927418121223302860,https://www.airbnb.com/rooms/927418121223302860?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in hostel,12/31/2024,1/1/2025,Moderate,flexible check, 11:00 AM,2,Private room,1,1,4.63,Barcelona,$171.00 ,,,"Private room in hostel in Barcelona, Spain",2024-10-08T18:20:42.742Z,airbnb://rooms/53185946,https://www.airbnb.com/rooms/53185946?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire serviced apartment,12/31/2024,1/1/2025,Flexible, 3:00 PM, 12:00 PM,2,Entire home/apt,1,1,4.54,Castelldefels,$176.00 ,,,"Entire serviced apartment in Castelldefels, Spain",2024-10-08T18:20:50.769Z,airbnb://rooms/48329328,https://www.airbnb.com/rooms/48329328?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in hostel,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,3,Private room,1,1,4.83,Barcelona,$179.00 ,Cleaning fee,$13.00 ,"Private room in hostel in Barcelona, Spain",2024-10-08T18:20:47.787Z,airbnb://rooms/50081241,https://www.airbnb.com/rooms/50081241?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in boutique hotel,12/31/2024,1/1/2025,Moderate,flexible check, 11:00 AM,2,Hotel room,1,,4.63,Barcelona,$182.00 ,,,"Room in boutique hotel in Barcelona, Spain",2024-10-08T18:20:29.008Z,airbnb://hotels/29322553,https://www.airbnb.com/rooms/29322553?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hotel,12/31/2024,1/1/2025,Flexible,flexible check, 11:00 AM,2,Private room,1,1,4.7,Barcelona,$192.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:30.950Z,airbnb://rooms/53159288,https://www.airbnb.com/rooms/53159288?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM , 11:00 AM,2,Entire home/apt,1,1,5,Barcelona,$203.00 ,,,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:49.646Z,airbnb://rooms/1145810180125514289,https://www.airbnb.com/rooms/1145810180125514289?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,2,Private room,1,,4.56,Barcelona,$206.00 ,Cleaning fee,$5.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:41.004Z,airbnb://rooms/27381858,https://www.airbnb.com/rooms/27381858?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 1:00 PM, 11:00 AM,1,Private room,1,,4.91,Barcelona,$220.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:36.969Z,airbnb://rooms/1218645303173234166,https://www.airbnb.com/rooms/1218645303173234166?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,flexible check,,2,Private room,1,,4.96,Santa Coloma de Gramenet,$220.00 ,,,"Room in Santa Coloma de Gramenet, Spain",2024-10-08T18:20:37.325Z,airbnb://rooms/13841903,https://www.airbnb.com/rooms/13841903?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in guest suite,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM, 12:00 PM,2,Private room,1,1,4.91,Vilassar de Mar,$258.00 ,Cleaning fee,$38.00 ,"Private room in guest suite in Vilassar de Mar, Spain",2024-10-08T18:20:38.895Z,airbnb://rooms/47371366,https://www.airbnb.com/rooms/47371366?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire serviced apartment,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM , 12:00 PM,2,Entire home/apt,1,1,4.77,Castelldefels,$382.00 ,,,"Entire serviced apartment in Castelldefels, Spain",2024-10-08T18:20:34.010Z,airbnb://rooms/21711501,https://www.airbnb.com/rooms/21711501?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in hostel,1/1/2023,12/31/2024,Long Term, 2:00 pm, 11:00 AM,2,Private room,1,1,4.76,Barcelona,$384.00 ,,,"Private room in hostel in Barcelona, Spain",2024-10-08T18:20:37.674Z,airbnb://rooms/52047490,https://www.airbnb.com/rooms/52047490?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in boat,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 10:00 AM,2,Private room,1,,4.67,Barcelona,$408.00 ,Cleaning fee,$11.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:40.496Z,airbnb://rooms/723620525927087811,https://www.airbnb.com/rooms/723620525927087811?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in boat,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 10:00 AM,2,Private room,1,,4.72,Barcelona,$409.00 ,Cleaning fee,$11.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:37.909Z,airbnb://rooms/723644764087881659,https://www.airbnb.com/rooms/723644764087881659?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long Term, 5:00 PM , 11:00 AM,4,Entire home/apt,2,1,5,Sant Adrià de Besòs,$439.00 ,Cleaning fee,$77.00 ,"Entire rental unit in Sant Adrià de Besòs, Spain",2024-10-08T18:20:38.168Z,airbnb://rooms/1227990416000944001,https://www.airbnb.com/rooms/1227990416000944001?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM , 12:00 PM,3,Entire home/apt,1,1,4.72,Castelldefels,$466.00 ,,,"Entire rental unit in Castelldefels, Spain",2024-10-08T18:20:40.170Z,airbnb://rooms/8419980,https://www.airbnb.com/rooms/8419980?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,4,Entire home/apt,1,1,4.8,Barcelona,$483.00 ,Cleaning fee,$53.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:40.356Z,airbnb://rooms/11737208,https://www.airbnb.com/rooms/11737208?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,4,Entire home/apt,2,1,4.83,Barcelona,$494.00 ,Cleaning fee,$55.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.087Z,airbnb://rooms/34957866,https://www.airbnb.com/rooms/34957866?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,11:00:00 AM,,2,Entire home/apt,1,1,4.87,Barcelona,$549.00 ,Cleaning fee,$44.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:41.083Z,airbnb://rooms/2491989,https://www.airbnb.com/rooms/2491989?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,11:00:00 AM,,4,Entire home/apt,2,1,4.92,Barcelona,$604.00 ,Cleaning fee,$66.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:37.375Z,airbnb://rooms/43888224,https://www.airbnb.com/rooms/43888224?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,flexible check, 11:00 AM,3,Entire home/apt,1,1,4.88,Barcelona,$615.00 ,Cleaning fee,$71.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:35.950Z,airbnb://rooms/2828143,https://www.airbnb.com/rooms/2828143?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Room in serviced apartment,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,3,Hotel room,1,1,4.55,Barcelona,$615.00 ,,,"Room in serviced apartment in Barcelona, Spain",2024-10-08T18:20:41.655Z,airbnb://hotels/14006090,https://www.airbnb.com/rooms/14006090?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long Term, 3:00 PM , 10:00 AM,5,Entire home/apt,2,1,4.88,Barcelona,$665.00 ,Cleaning fee,$126.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:34.611Z,airbnb://rooms/1110775765657684157,https://www.airbnb.com/rooms/1110775765657684157?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,2:00:00 PM,,2,Entire home/apt,1,1,4.92,Barcelona,$686.00 ,Cleaning fee,$33.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:36.230Z,airbnb://rooms/2781640,https://www.airbnb.com/rooms/2781640?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 11:00 AM,4,Entire home/apt,1,1,4.96,Barcelona,$734.00 ,Cleaning fee,$99.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:38.483Z,airbnb://rooms/25372941,https://www.airbnb.com/rooms/25372941?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM , 10:00 AM,4,Entire home/apt,2,2,4.94,Barcelona,$746.00 ,Cleaning fee,$88.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.065Z,airbnb://rooms/21393496,https://www.airbnb.com/rooms/21393496?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire home,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM , 10:00 AM,2,Entire home/apt,1,1,4.96,Barcelona,$768.00 ,Cleaning fee,$88.00 ,"Entire home in Barcelona, Spain",2024-10-08T18:20:35.330Z,airbnb://rooms/12791930,https://www.airbnb.com/rooms/12791930?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire serviced apartment,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 11:00 AM,3,Entire home/apt,1,2,4.95,Barcelona,$818.00 ,Cleaning fee,$33.00 ,"Entire serviced apartment in Barcelona, Spain",2024-10-08T18:20:34.053Z,airbnb://rooms/45444900,https://www.airbnb.com/rooms/45444900?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire loft,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 12:00 PM,4,Entire home/apt,2,1,4.95,Barcelona,$823.00 ,Cleaning fee,$55.00 ,"Entire loft in Barcelona, Spain",2024-10-08T18:20:35.312Z,airbnb://rooms/4028518,https://www.airbnb.com/rooms/4028518?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 11:00 AM,3,Entire home/apt,1,1,4.95,Barcelona,$823.00 ,Cleaning fee,$66.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:37.921Z,airbnb://rooms/27823920,https://www.airbnb.com/rooms/27823920?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,4,Entire home/apt,2,2,4.93,Barcelona,$823.00 ,Cleaning fee,$88.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:40.269Z,airbnb://rooms/1168205000612984149,https://www.airbnb.com/rooms/1168205000612984149?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire home,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 11:00 AM,2,Entire home/apt,1,1,4.91,Barcelona,$851.00 ,Cleaning fee,$55.00 ,"Entire home in Barcelona, Spain",2024-10-08T18:20:38.152Z,airbnb://rooms/9140899,https://www.airbnb.com/rooms/9140899?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,4,Entire home/apt,2,1,4.9,Barcelona,$877.00 ,Cleaning fee,$22.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:35.499Z,airbnb://rooms/988917,https://www.airbnb.com/rooms/988917?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long Term, 4:00 PM , 11:00 AM,5,Entire home/apt,2,1.5,4.88,Barcelona,$878.00 ,Cleaning fee,$104.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.128Z,airbnb://rooms/2788720,https://www.airbnb.com/rooms/2788720?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM, 11:00 AM,4,Entire home/apt,2,2,4.79,Barcelona,$879.00 ,Cleaning fee,$170.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.408Z,airbnb://rooms/46459243,https://www.airbnb.com/rooms/46459243?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire condo,1/1/2023,12/31/2024,Long Term, 3:00 PM , 11:00 AM,2,Entire home/apt,1,1,4.93,Barcelona,$889.00 ,Cleaning fee,$33.00 ,"Entire condo in Barcelona, Spain",2024-10-08T18:20:37.028Z,airbnb://rooms/53178537,https://www.airbnb.com/rooms/53178537?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 11:00 AM,4,Entire home/apt,2,2,4.99,Barcelona,$905.00 ,Cleaning fee,$66.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:36.100Z,airbnb://rooms/17021004,https://www.airbnb.com/rooms/17021004?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long Term, 3:00 PM , 11:00 AM,3,Entire home/apt,1,1,5,Barcelona,$911.00 ,Cleaning fee,$66.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:38.698Z,airbnb://rooms/1100259048686597204,https://www.airbnb.com/rooms/1100259048686597204?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,4,Entire home/apt,2,2,4.9,Barcelona,$916.00 ,Cleaning fee,$55.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.476Z,airbnb://rooms/8811813,https://www.airbnb.com/rooms/8811813?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 4:00 PM, 11:00 AM,2,Entire home/apt,1,1,4.99,Barcelona,$966.00 ,Cleaning fee,$44.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:41.188Z,airbnb://rooms/53323226,https://www.airbnb.com/rooms/53323226?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,6,Entire home/apt,2,2,4.81,Barcelona,$982.00 ,Cleaning fee,$82.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:39.626Z,airbnb://rooms/9521249,https://www.airbnb.com/rooms/9521249?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long Term, 3:00 PM, 12:00 PM,4,Entire home/apt,1,1,4.91,Barcelona,"$1,010.00 ",Cleaning fee,$55.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:40.579Z,airbnb://rooms/21719962,https://www.airbnb.com/rooms/21719962?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,4,Entire home/apt,2,2,4.98,Barcelona,"$1,065.00 ",Cleaning fee,$55.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:42.000Z,airbnb://rooms/43495895,https://www.airbnb.com/rooms/43495895?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM, 11:00 AM,5,Entire home/apt,3,2,4.99,Barcelona,"$1,092.00 ",Cleaning fee,$88.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:37.410Z,airbnb://rooms/11684141,https://www.airbnb.com/rooms/11684141?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,4,Entire home/apt,2,1,4.96,Barcelona,"$1,207.00 ",Cleaning fee,$44.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:36.623Z,airbnb://rooms/15582843,https://www.airbnb.com/rooms/15582843?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Entire rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 3:00 PM , 10:00 AM,4,Entire home/apt,2,2,4.98,Barcelona,"$1,377.00 ",Cleaning fee,$132.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:35.387Z,airbnb://rooms/666515186487242337,https://www.airbnb.com/rooms/666515186487242337?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
